"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792820"|"Official"|"1979"|"Antarctica"|"H6"|"9.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792821"|"Official"|"1979"|"Antarctica"|"H4"|"18.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792822"|"Official"|"1979"|"Antarctica"|"H6"|"12.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792823"|"Official"|"1979"|"Antarctica"|"H4"|"10.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792825"|"Official"|"1979"|"Antarctica"|"H4"|"8.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792828"|"Official"|"1979"|"Antarctica"|"L6"|"3.47 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792829"|"Official"|"1979"|"Antarctica"|"H4"|"4.43 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792831"|"Official"|"1979"|"Antarctica"|"H5"|"4.77 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792835"|"Official"|"1979"|"Antarctica"|"H4"|"3.67 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792837"|"Official"|"1979"|"Antarctica"|"H5"|"4.33 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792843"|"Official"|"1979"|"Antarctica"|"H6"|"2.31 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792844"|"Official"|"1979"|"Antarctica"|"H5"|"3.64 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792851"|"Official"|"1979"|"Antarctica"|"H6"|"0.94 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792860"|"Official"|"1979"|"Antarctica"|"H4"|"15 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792861"|"Official"|"1979"|"Antarctica"|"H6"|"6.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792862"|"Official"|"1979"|"Antarctica"|"H6"|"150.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792863"|"Official"|"1979"|"Antarctica"|"H5"|"132.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792864"|"Official"|"1979"|"Antarctica"|"H4"|"53 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792865"|"Official"|"1979"|"Antarctica"|"H4"|"33.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792866"|"Official"|"1979"|"Antarctica"|"H4"|"15.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792867"|"Official"|"1979"|"Antarctica"|"H4"|"21 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792868"|"Official"|"1979"|"Antarctica"|"H4"|"13 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792869"|"Official"|"1979"|"Antarctica"|"H4"|"15.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792870"|"Official"|"1979"|"Antarctica"|"H4"|"13.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792872"|"Official"|"1979"|"Antarctica"|"H4"|"7.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792873"|"Official"|"1979"|"Antarctica"|"H4"|"9.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792875"|"Official"|"1979"|"Antarctica"|"H5"|"5.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792879"|"Official"|"1979"|"Antarctica"|"H4"|"4.44 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792880"|"Official"|"1979"|"Antarctica"|"H5"|"7.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792883"|"Official"|"1979"|"Antarctica"|"H5"|"3.83 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792891"|"Official"|"1979"|"Antarctica"|"H5"|"38.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
