"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A77002 **"|"Official"|" "|"1977"|"Antarctica"|"L5"|"235 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77003 **"|"Official"|" "|"1977"|"Antarctica"|"CO3.6"|"780 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77004 **"|"Official"|" "|"1977"|"Antarctica"|"H4"|"2.23 kg"|"2(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77005 **"|"Official"|" "|"1977"|"Antarctica"|"Martian (shergottite)"|"483 g"|"4(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77007"|"Official"|" "|"1977"|"Antarctica"|"H5"|"99.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77008"|"Official"|" "|"1977"|"Antarctica"|"L6"|"93 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77009 **"|"Official"|" "|"1977"|"Antarctica"|"H4"|"236 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77010 **"|"Official"|" "|"1977"|"Antarctica"|"H4"|"296 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77011 **"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"292 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77012 **"|"Official"|" "|"1977"|"Antarctica"|"H5"|"180.2 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77013"|"Official"|" "|"1977"|"Antarctica"|"L3.6"|"23 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77014 **"|"Official"|" "|"1977"|"Antarctica"|"H5"|"309 g"|"2(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A77015 **"|"Official"|" "|"1977"|"Antarctica"|"L3.5"|"411 g"|"2(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
